50,Line Walking and Balancing for Legged Robots with Point Feet
51,Automatic Gait Pattern Selection for Legged Robots
52,Kinodynamic Motion Planning for Multi-Legged Robot Jumping Via Mixed-Integer Convex Program
53,Snapbot V2: A Reconfigurable Legged Robot with a Camera for Self Configuration Recognition
54,Fast Global Motion Planning for Dynamic Legged Robots
55,Dynamic Legged Manipulation of a Ball through Multi-Contact Optimization
56,Explore Bravely: Wheeled-Legged Robots Traversing in Unknown Rough Environment
57,Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion
58,Real-Time Constrained Nonlinear Model Predictive Control on SO(3) for Dynamic Legged Locomotion
59,Hybrid Systems Differential Dynamic Programming for Whole-Body Motion Planning of Legged Robots
60,Real-Time Constrained Nonlinear Model Predictive Control on SO(3) for Dynamic Legged Locomotion
61,Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion
62, Legged Robots- Multi-Robot Systems
63, Online Lidar-SLAM for Legged Robots with Robust Registration and Deep-Learned Loop Closure
65,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research
66,GaitMesh: Controller-Aware Navigation Meshes for Long-Range Legged Locomotion Planning in Multi-Layered Environments
67,MPC-Based Controller with Terrain Insight for Dynamic Legged Locomotion
68,Reactive Support Polygon Adaptation for the Hybrid Legged-Wheeled CENTAURO Robot
69,on the Hardware Feasibility of Nonlinear Trajectory Optimization for Legged Locomotion Based on a Simplified Dynamics
70,Agile Legged-Wheeled Reconfigurable Navigation Planner Applied on the CENTAURO Robot
71,Preintegrated Velocity Bias Estimation to Overcome Contact Nonlinearities in Legged Robot Odometry
72,Extracting Legged Locomotion Heuristics with Regularized Predictive Control
73,Probe-Before-Step Walking Strategy for Multi-Legged Robots on Terrain with Risk of Collapse
76,the Soft-Landing Problem: Minimizing Energy Loss by a Legged Robot Impacting Yielding Terrain
78,Zero-Shot Imitation Learning from Demonstrations for Legged Robot Visual Navigation
79,Towards More Possibilities: Motion Planning and Control for Hybrid Locomotion of Wheeled-Legged Robots
80,Navigation for Legged Mobility: Dynamic Climbing (I)
81,High-Flexibility Locomotion and Whole-Torso Control for a Wheel-Legged Robot on Challenging Terrain
82,An Approach of Facilitated Investigation of Active Self-healing Tension Transmission System Oriented for Legged Robots
84,Estimating the Center of Mass and the Angular Momentum Derivative for Legged Locomotion ' a Recursive Approach
85,Fault-Tolerant Force Tracking for a Multi-Legged Robot
86,Feedback MPC for Torque-Controlled Legged Robots
87,Improved Energy Efficiency Via Parallel Elastic Elements for theStraight-Legged Vertically-Compliant Robot SLIDER
88,Multi-Controller Multi-Objective Locomotion Planning for Legged Robots
89,Online Optimal Impedance Planning for Legged Robots
90,Online Relative Footstep Optimization for Legged Robots Dynamic Walking Using Discrete-Time Model Predictive Control
91,Robust Legged Robot State Estimation Using Factor Graph Optimization
92,Sensitivity of Legged Balance Control to Uncertainties and Sampling Period
93,Trajectory Optimization for Legged Robots with Slipping Motions
94,Variable Configuration Planner for Legged-Rolling Obstacle Negotiation Locomotion: Application on the CENTAURO Robot
