name,date,abstract,doi
 An overview of the Defense Advanced Research Projects Agency’s Learning Locomotion program,2010," In November of 2005, the Defense Advanced Research Projects Agency initiated a new robotics program, Learning Locomotion, designed to solve some of the key outstanding issues. The expectation was that a combination of machine learning techniques and smart development would accelerate the pace of making autonomous legged systems robust and useful.", 10.1177/0278364910387681
 Bounding on rough terrain with the LittleDog robot,2010,"loop bounding is inherently unstable. A feedback controller based on transverse linearization was implemented, and shown in simulation to stabilize perturbations in the presence of noise and time delays.", 10.1177/0278364910388315
 Comprehensive summary of the Institute for Human and Machine Cognition’s                 experience with LittleDog,2011," We discuss the main issues and challenges with quadrupedal locomotion over rough terrain in the context of the Defense Advanced Research Projects Agency?s Learning Locomotion program. We present our controller for the LittleDog platform, which allows for continuous transition between a static crawl gait and a dynamic trot gait depending on the roughness of the terrain. We provide detailed descriptions for some of our key algorithm components, such as a fast footstep planner for rough terrain, a body pose finder for a given support polygon, and a new type of parameterized gait. We present the results of our algorithm, which proved successful in the program, crossing all 10 terrain boards on the final test at an average speed of 11.2 cm/s. We conclude with a discussion on the applicability of this work for platforms other than LittleDog and in environments other than the Learning Locomotion designed tests.", 10.1177/0278364910390538
like running systems,2012,"platform stability comparison, this paper facilitates the development and evaluation of robots and control schemes, such as the active energy removal approach utilized in this paper, that aim to improve the stability of running systems.", 10.1177/0278364912439613
dimensional Gravitational Environments,2009,legged prototype., 10.1177/0278364909347783
" Learning, planning, and control for quadruped locomotion over challenging                 terrain",2010,"base inverse dynamics controller that, in conjunction with force control, allows for robust, compliant locomotion over unperceived obstacles. We evaluate the performance of our controller by testing it on the LittleDog quadruped robot, over a wide variety of rough terrains of varying difficulty levels. The terrain that the robot was tested on includes rocks, logs, steps, barriers, and gaps, with obstacle sizes up to the leg length of the robot. We demonstrate the generalization ability of this controller by presenting results from testing performed by an independent external test team on terrain that has never been shown to us.", 10.1177/0278364910388677
expansive Spaces,2009,"modal planning algorithm for problems where the number of intersecting manifolds is finite. We also analyze the completeness properties of this algorithm. More specifically, we show that the algorithm converges quickly when each submanifold is individually expansive and establish a bound on the expected running time in that case. We also present an incremental variant of the algorithm that has the same convergence properties, but works better for problems with a large number of submanifolds by considering subsets of submanifolds likely to contain a solution path. These algorithms are demonstrated in geometric examples and in a legged locomotion planner.", 10.1177/0278364909352098
dynamics control,2013,"base robots under contact constraints that can minimize any combination of linear and quadratic costs in the contact constraints and the commands. Our main result is the exact analytical derivation of the controller. Such a result is particularly relevant for legged robots as it allows us to use torque redundancy to directly optimize contact interactions. For example, given a desired locomotion behavior, we can guarantee the minimization of contact forces to reduce slipping on difficult terrains while ensuring high tracking performance of the desired motion. The main advantages of the controller are its simplicity, computational efficiency and robustness to model inaccuracies. We present detailed experimental results on simulated humanoid and quadruped robots as well as a real quadruped robot. The experiments demonstrate that the controller can greatly improve the robustness of locomotion of the robots.1", 10.1177/0278364912469821
based control for lower power walking: 65 km on a single battery charge,2014,effective reliable walking of more complex robots., 10.1177/0278364914527485
 Probabilistically valid stochastic extensions of deterministic models for systems with uncertainty,2015,"driven methodology that extends deterministic models to a stochastic regime and offers probabilistic guarantees of model fidelity. From an acceptable deterministic model, a stochastic one is generated, capable of capturing and reproducing uncertain system?environment interactions at given levels of fidelity. The reported approach combines methodological elements from probabilistic model validation and randomized algorithms, to simultaneously quantify the fidelity of a model and tune the distribution of random parameters in the corresponding stochastic extension, in order to reproduce the variability observed experimentally in the physical process of interest. The approach can be applied to an array of physical processes, the models of which may come in different forms, including differential equations; we demonstrate this point by considering examples from the areas of miniature legged robots and aerial vehicles.", 10.1177/0278364915576336
II                 for Reversible Switch between Walk and Roll on Demand,2009,"type locomotion, particularly in a transitional state of sitting or standing, we propose a control method based on minimization of the total energy cost using the distribution of the motor power payload in the hip and knee joints, in addition to the method of keeping the same payload factor. Also, we discuss robot configurations for switching between the two locomotion types by considering environmental factors such as walking gaits, ground inclination angle and robot?s traveling direction. Knee joint position of a pivotal foot determines knee ahead and knee behind gaits. In each switch, we check such characteristics as the hip joint rotation direction, robot center trajectory, and necessary total power in a practical point of use. Then we build three beneficial switching cycles aiming for moderate use of a motor, rider?s comfort, and power saving. Finally, we demonstrate the switching by considering the aim and verify that the results of the analysis become useful for enabling switching on demand.", 10.1177/0278364909348762
optimization with contact,2014,body motions for robots with 100 degrees of freedom and dozens of contact points are calculated in seconds., 10.1177/0278364914527855
 An obstacle disturbance selection framework: emergent robot steady states under repeated collisions,2020,rich environments., 10.1177/0278364920935514
based control for the active SLIP model,2015,placement or path planning method. Its main advantage is the ability to reduce the effects of sensing errors and disturbances happening at landing as well as during the stance phase., 10.1177/0278364914552112
 Metastable Walking Machines,2009,"passage time?and compare its performance with a deterministic counterpart. Our results demonstrate that walking is well characterized as a metastable process, and that the stochastic dynamics of walking should be accounted for during control design in order to improve the stability of our machines.", 10.1177/0278364909340446
aided invariant extended Kalman filtering for robot state estimation,2020,based EKF as a result of exploiting symmetries present in system., 10.1177/0278364919894385
 Modular Reactive Neurocontrol for Biologically Inspired Walking Machines,2007,legged walking machines without changing the internal structure and its parameters., 10.1177/0278364906076263
 Coordination of lateral body bending and leg movements for sprawled posture quadrupedal locomotion,2021,"dimensional representation of the body and limb contributions to the locomotor performance quantified by stride displacement. For systems where the damping forces dominate inertial forces, our approach offers insight into appropriate coordination patterns, and improves the computational efficiency of optimization techniques. In particular, we demonstrate effect of the lateral undulation coordinated with leg movement in the forward, rotational, and lateral directions of the robot motion. We validate the theoretical results using numerical simulations, and then successfully test these approaches using robophysical experiments on granular media, a model deformable, frictional substrate. Although our focus lies primarily on robotics, we also demonstrate that our tools can accurately predict optimal body bending of a living salamander Salamandra salamandra.", 10.1177/0278364921991158
induced obstacle attraction and repulsion during dynamic locomotion,2021,static potential energy landscape model to explain the dependence of dynamic locomotion on body shape. Our experimental and modeling results also demonstrated that obstacle attraction or repulsion is an inherent property of locomotor body shape and insensitive to obstacle geometry and size. Our study expands the concept and usefulness of terradynamic shapes for passive control of robot locomotion to traverse large obstacles using physical interaction. Our study is also a step in establishing an energy landscape approach to locomotor transitions., 10.1177/0278364921989372
body locomotion control,2020,body control strategy that reduces movement jerk during walking., 10.1177/0278364920918014
 A bioinspired dynamical vertical climbing robot,2012,"lengths per second, in rough agreement with our models? predictions).", 10.1177/0278364912442096
 Ground fluidization promotes rapid running of a lightweight robot,2013,"like inertial response of the material. The simulation allows variation of parameters which are inconvenient to modify in experiment, and thus gives insight into how substrate and robot properties change performance. Our study reveals how lightweight animals can achieve high performance on granular substrates; such insights can advance the design and control of robots in deformable terrains.", 10.1177/0278364913481690
oscillation problem,2020,downs and up to 1.8 m/s). The results show successful performance of the controller and its stability and robustness against various perturbations., 10.1177/0278364920916777
" Thrust Control, Stabilization and Energetics of a Quadruped Running Robot",2008,"loop control method regulates the energy added in each hop based on the model of the actuator system. The efficacy of these models and techniques is tested in several planar trot and pronk experiments, and the results are analyzed focusing on the body stabilization, the power consumption and the energetic efficiency.", 10.1177/0278364908097063
scale locomotion on rocky surfaces,2017,dimensional loading angle to predict the overall forces possible in three dimensions of both single and opposed configurations of spine arrays. Demonstrated applications include a gripper for a ?smart staff? aimed at helping humanoid robots to negotiate steep terrain and a palm that provides over 700N in shear for the RoboSimian quadruped., 10.1177/0278364917720019
 Controlling the Walking Speed in Limit Cycle Walking,2008,legged walking machines., 10.1177/0278364908095005
 Quadrupedal locomotion using hierarchical operational space control,2014,space inverse dynamics (no joint position feedback) control., 10.1177/0278364913519834
speed bounding with the MIT Cheetah 2: Control design and experiments,2017,"made and natural terrains. The control framework is shown to provide stable bounding in the hardware, at speeds of up to 6.4 m/s and with a minimum total cost of transport of 0.47. These results are unprecedented accomplishments in terms of efficiency and speed in untethered experimental quadruped machines.", 10.1177/0278364917694244
"stabilized quadrupedal bounding, pacing, pronking, and trotting",2018," This paper applies an extension of classical averaging methods to hybrid dynamical systems, thereby achieving formally specified, physically effective and robust instances of all virtual bipedal gaits on a quadrupedal robot. Gait specification takes the form of a three parameter family of coupling rules mathematically shown to stabilize limit cycles in a low degree of freedom template: an abstracted pair of vertical hoppers whose relative phase locking encodes the desired physical leg patterns. These coupling rules produce the desired gaits when appropriately applied to the physical robot. The formal analysis reveals a distinct set of morphological regimes determined by the distribution of the body?s inertia within which particular phase relationships are naturally locked with no need for feedback stabilization (or, if undesired, must be countermanded by the appropriate feedback), and these regimes are shown empirically to analogously govern the physical machine as well. In addition to the mathematical stability analysis and data from physical experiments we summarize a number of extensive numerical studies that explore the relationship between the simple template and its more complicated anchoring body models.", 10.1177/0278364918779874
 Bounding with Active Wheels and Liftoff Angle Velocity Adjustment,2009," The bounding gait for the Platform for Ambulating Wheels (PAW), a new and unique hybrid wheeled?leg system is presented. Two hypotheses are tested and discussed: first, that the robot?s forward speed can be increased by increasing the leg liftoff angles and, second, that the addition of distally mounted actuated wheels can be used in running gaits such as the bound. Both hypotheses were tested experimentally and found to be valid.", 10.1177/0278364909336807
1 Hybrid Mobile Robot,2009,"motor and lead screw system) able to lock or unlock some DOFs of the kinematic chain. Moreover, the robot locomotion unit can change its size, from small to large and vice versa, in order to be able to reach restricted spaces and to overcome even quite tall obstacles. It was experimentally tested on flat ground and slopes. It can overcome 90 mm obstacles, that are 72% of the height of the locomotion unit, and climb stairs.", 10.1177/0278364909336806
running: Implementation of a hierarchical controller using proprioceptive impedance control on the MIT Cheetah,2014,running gait in the sagittal plane., 10.1177/0278364914532150
 Reactive navigation in partially familiar planar environments using semantic perceptual feedback,2021," This article solves the planar navigation problem by recourse to an online reactive scheme that exploits recent advances in simultaneous localization and mapping (SLAM) and visual object recognition to recast prior geometric knowledge in terms of an offline catalog of familiar objects. The resulting vector field planner guarantees convergence to an arbitrarily specified goal, avoiding collisions along the way with fixed but arbitrarily placed instances from the catalog as well as completely unknown fixed obstacles so long as they are strongly convex and well separated. We illustrate the generic robustness properties of such deterministic reactive planners as well as the relatively modest computational cost of this algorithm by supplementing an extensive numerical study with physical implementation on both a wheeled and legged platform in different settings.", 10.1177/02783649211048931
enhanced control,2019,level controller., 10.1177/0278364919870242
" That Which Does Not Stabilize, Will Only Make Us Stronger",2007," Many places in the world are too rugged or enclosed for vehicles to access. Even today, material transport to such areas is limited to manual labor and beasts of burden. Modern advancements in wearable robotics may make those methods obsolete. Lower extremity exoskeletons seek to supplement the intelligence and sensory systems of a human with the significant strength and endurance of a pair of wearable robotic legs that support a payload. This article first outlines the use of Clinical Gait Analysis data as the framework for the design of such a system at UC Berkeley. This data is used to design the exoskeleton degrees of freedom and size its actuators. It will then give an overview of one of the control schemes implemented on the BLEEX. The control algorithm described here increases the system closed loop sensitivity to its wearer?s forces and torques without any measurement from the wearer (such as force, position, or electromyogram signal). The control algorithm uses the inverse dynamics of the exoskeleton, scaled by a number smaller than unity, as a positive feedback controller. This controller almost destabilizes the system since it leads to an overall loop gain slightly smaller than unity and results in a large sensitivity to all wearer?s forces and torques thereby allowing the exoskeleton to shadow its wearer.", 10.1177/0278364907074472
controlled manipulators,2021,coplanar contacts and human interaction., 10.1177/02783649211053650
holonomic objects using learned dynamics,2021,"free manipulation. When combined with the proposed manipulation planning algorithm, the robot successfully moves the object to the desired pose while avoiding any collision.", 10.1177/0278364921992793
optimization of design parameters and motion trajectories for robotic systems,2018,"bar linkages, or rotary servos. We further validate our framework by optimizing the design of two small quadruped robots and testing their performances using hardware implementations.", 10.1177/0278364918771172
 Adaptive Dynamic Walking of a Quadruped Robot on Natural Ground Based on Biological Concepts,2007,"contained quadruped (called Tekken2) walk on natural ground, several new reflexes and responses are developed in addition to those developed in previous studies. A flexor reflex prevents a leg from stumbling on small bumps and pebbles. A sideways stepping reflex stabilizes rolling motion on a sideways inclined slope. A corrective stepping reflex/response prevents the robot from falling down in the case of loss of ground contact. A crossed flexor reflex helps a swinging leg keep enough clearance between the toe and the ground. The effectiveness of the proposed neural system model control and especially the newly developed reflexes and responses are validated by indoor and outdoor experiments using Tekken2. A CPG receives sensory feedback as a result of motions induced by reflexes, and changes the period of its own active phase. Since a CPG has the ability of mutual entrainment with pitching motion of legs and rolling motion of the body in addition, the consistency between motion of a leg temporally modified by a reflex and motions of the other legs is maintained autonomously. It is shown that CPGs can be the center of sensorimotor coordination, and that the neural system model simply defining the relationships between CPGs, sensory input, reflexes and mechanical system works very well even in complicated tasks such as adaptive dynamic walking on unstructured natural ground.", 10.1177/0278364907078089
gallop transition and subsequent gallop on the MIT           Cheetah I,2016,gallop gait transition at high speed., 10.1177/0278364916640102
inspired Attachment Mechanisms,2009,platform for future adhesive materials such as dry adhesive tape., 10.1177/0278364908095334
 Stable dynamic walking over uneven terrain,2011,"like feet. The technique is, however, very general and can be applied to a wide variety of hybrid nonlinear systems.", 10.1177/0278364910395339
 On the mechanical contribution of head stabilization to passive dynamics of anthropometric walkers,2019,"body model that allows to better understand the mechanical interest of head stabilization when walking, and we study how this effect is sensitive to the choice of control parameters.", 10.1177/0278364919894387
hour operation,2015,point following. Extensive experimental results obtained from multiple field tests are presented to illustrate the performance and robustness of the system over hours of continuous runs and hundreds of kilometers of distance traveled in a wide variety of terrains and conditions., 10.1177/0278364915587333
 Stability Analysis of Passive Dynamic Walking of Quadrupeds,2009,"phase gait. This was achieved through the use of a wobbling mass, i.e. an additional mass that is elastically attached to the main body of the quadruped. The methods, results, and gaits presented in this paper additionally provide a point of departure for the exploration of the considerably richer range of quadrupedal locomotion found in nature.", 10.1177/0278364909344635
 Autonomous navigation of a humanoid robot over unknown rough terrain using a laser range sensor,2012,size humanoid robot. The performance of the proposed system for navigation over unknown rough terrain and the accuracy of the terrain shape measurement were investigated through several experiments., 10.1177/0278364912455720
 A simple model of balancing in the plane and a simple preview balance controller,2017,pass filter acting on a preview of the command signal. The filter makes the robot lean in anticipation of future movements. Simulation results are presented showing the balance controller achieving excellent tracking of large fast motion commands while simultaneously maintaining the robot?s balance and accurately rejecting disturbances caused by other motions being performed by the robot. The controller is also robust to effects such as actuator saturation and sensor noise., 10.1177/0278364917691114
inspired controller achieving forward speed modulation with a 3D bipedal walker,2018,"level parameters, as linear or quadratic functions of the target speed. Sharp speed transitions can then be achieved with no additional tuning, resulting in immediate adaptations of the step length and frequency. In this paper, we particularly embodied this controller on a simulated version of COMAN, a 95 cm tall humanoid robot. We reached forward speed modulations between 0.4 and 0.9 m/s. This covers normal human walking speeds once scaled to the robot size. Finally, the walker demonstrated significant robustness against a large spectrum of unpredicted perturbations: facing external pushes or walking on altered environments, such as stairs, slopes, and irregular ground.", 10.1177/0278364917743320
 Tractable locomotion planning for RoboSimian,2015,"offs between computation time and execution time, subject to velocity and acceleration limits of the joints. These results lead us to hypothesize that appropriate statistical ?investment? of parallel computing resources between competing formulations or flavors of random planning algorithms can improve motion planning performance significantly. Motivated by the need to improve the speed of limbed mobility for the Defense Advanced Research Projects Agency Robotics Challenge, we introduce one formulation of this resource allocation problem as a toy example and discuss advantages and implications of such trajectory planning for tractable locomotion on complex terrain.", 10.1177/0278364915584947
 Quantitative measures of a robot’s physical ability to balance,2016," This paper presents quantitative measures of a robot?s physical ability to balance itself actively on a single point, line or area of support. These measures express the ratio of a change in the state of motion of the robot?s center of mass to the amount of action required at the actuated joints in order to produce that change. They therefore represent measures of the gain of the robot mechanism as seen from the point of view of the balance control system. This paper is concerned mainly with ratios of velocities, called velocity gains, and it builds on earlier work by showing how these ratios can be defined and calculated for the case of a general planar or spatial robot balancing on a point, line or general rolling contact, or an area contact with a compliant surface. The paper concludes with three examples of use?design of a triple pendulum, analysis of a hydraulic quadruped, and expressing the physics of planar balancing?followed by a short discussion of gyroscopic balancing.", 10.1177/0278364916669599
 Analysis of human–robot interaction at the DARPA Robotics Challenge Finals,2017,autonomous humanoid robots is proposed based on these results., 10.1177/0278364916688254
mass bipedal           robot,2016,world locomotion., 10.1177/0278364916648388
 Constrained stochastic optimal control with learned importance sampling: A path integral approach,2021,"time control applications. Furthermore, the path integral framework provides a natural way of incorporating existing control architectures as ancillary controllers for shaping the sampling distribution. Our results reveal that even in cases where the ancillary controller would fail, our stochastic control algorithm provides an additional safety and robustness layer. Moreover, in the absence of an existing ancillary controller, our method can be used to train a parametrized importance sampling policy using data from the stochastic rollouts. The algorithm may thereby bootstrap itself by learning an importance sampling policy offline and then refining it to unseen environments during online control. We validate our results on three robotic systems, including hardware experiments on a quadrupedal robot.", 10.1177/02783649211047890
end system for design of robots with ground locomotion,2017,"fold parts. The designs are tested for the users? functional specifications via simulation and fabricated on user satisfaction. We present six robots designed and fabricated using a 3D printing based approach, as well as a larger robot cut from sheet metal. We have also conducted a user study that demonstrates that our tool is intuitive for novice designers and expressive enough to create a wide variety of ground robot designs.", 10.1177/0278364917723465
 Nonholonomic virtual constraints and gait optimization for robust walking control,2017,"based posture regulation via nonholonomic virtual constraints. Using a single continuously defined controller taken directly from optimization, MARLO traverses sloped sidewalks and parking lots, terrain covered with randomly thrown boards, and grass fields, all while maintaining average walking speeds between 0.9 and 0.98 m/s and setting a new precedent for walking efficiency in realistic environments.", 10.1177/0278364917708249
"cub, a compliant quadruped robot",2013,segment legs in quadruped robots., 10.1177/0278364913489205
 High speed locomotion for a quadrupedal microrobot,2014,"up books that enables fast and repeatable assembly of the miniature walking robot. Methods to drive HAMR at low and high speeds are presented, resulting in speeds up to 0.44 m/s (10.1 body lengths per second) and the ability to maneuver and control the robot along desired trajectories.", 10.1177/0278364914521473
body motion planning for humanoid robots: an integrated approach,2013,2 robot., 10.1177/0278364913481250
 Efficient Walking Speed Optimization of a Humanoid Robot,2009,1could be achieved in permanent operation., 10.1177/0278364908095171
modal motion planning for a humanoid robot manipulation task,2010,MMP solves problem instances that require several carefully chosen pushes in minutes on a PC., 10.1177/0278364910386985
periodic bipedal locomotion with a centroidal momentum model,2017,"periodic keyframe states robustly over various challenging terrains and under external disturbances, as illustrated through several simulations.", 10.1177/0278364917730602
 Dynamic Rolling for a Modular Loop Robot,2009,"based feedback controller to achieve dynamic rolling for a loop robot. The robot senses its position relative to the ground and changes its shape as it rolls. This shape is such that its center of gravity is maintained to be in front of its contact point with the ground, so in effect the robot is continuously falling and thus accelerates forward. Using simulation and experimental results, we show how the desired shape can be varied to achieve higher terminal velocities. The highest velocity achieved in this work is 26 module lengths per second (1.6 m/s) which is believed to be the fastest gait yet implemented for an untethered modular robot. One of the major findings is that more elongated shapes achieve higher terminal velocities than rounder shapes. We demonstrate that this trend holds going up inclines as well as down. We show that rounder shapes have lower specific resistance and are thus more energy efficient. The control scheme is scalable to an arbitrary number of modules, shown here using eight to 14 modules.", 10.1177/0278364908099463
 Stable Running with Segmented Legs,2008,linear springs to enhance joint stiffness in fast running., 10.1177/0278364908095136
dimensional robots,2016,static methods are guaranteed to fail., 10.1177/0278364916675419
 How to train your robot with deep reinforcement learning: lessons we have learned,2021,world robotics setting and are not often the focus of mainstream RL research. Our goal is to provide a resource both for roboticists and machine learning researchers who are interested in furthering the progress of deep RL in the real world., 10.1177/0278364920987859
" An efficient leg with series–parallel and biarticular compliant actuation: design optimization, modeling, and control of the eLeg",2019,elastic actuator configuration., 10.1177/0278364919893762
 Reinforcement learning in robotics: A survey,2013,"search methods. By analyzing a simple problem in some detail we demonstrate how reinforcement learning approaches may be profitably applied, and we note throughout open questions and the tremendous potential for future research.", 10.1177/0278364913495721
"aware manipulability learning, tracking, and transfer",2020,arm systems validate the feasibility of the approach., 10.1177/0278364920946815
 Deep spatiotemporal models for robust proprioceptive terrain classification,2017,world deployments., 10.1177/0278364917727062
Mover: a rough terrain mobile robot with a simple leg–wheel hybrid mechanism,2011,"Mover are also described in detail. Some typical cases of rough terrain for wheel mode and leg mode are selected, and the robot?s ability of locomotion is assessed through simulations and experiments. In each case, the robot is able to move over rough terrain while maintaining the horizontal orientation of its platform.", 10.1177/0278364911405697
 Frequency modulation of body waves to improve performance of sidewinding robots,2021,"joint limbless robot locomoting on flat hard ground. Our scheme broadens the range of movements and behaviors accessible to sidewinding locomotors at low speeds, which can lead to limbless systems capable of traversing diverse terrain stably and/or rapidly.", 10.1177/02783649211037715
 Visual Servoing for Nonholonomically Constrained Three Degree of Freedom Kinematic Systems,2007," This paper addresses problems of robot navigation with nonholonomic motion constraints and perceptual cues arising from onboard visual servoing in partially engineered environments. A general hybrid procedure is proposed that adapts to the constrained motion setting the standard feedback controller arising from a navigation function in the fully actuated case. This is accomplished by switching back and forth between moving ?down? and ?across? the associated gradient field toward the stable manifold it induces in the constrained dynamics. Guaranteed to avoid obstacles in all cases, conditions are provided under which the new procedure brings initial configurations to within an arbitrarily small neighborhood of the goal.Simulation results are given for a sample of visual servoing problems with a few different perceptual models. The empirical effectiveness of the proposed algorithm is documented by reporting results of its application to outdoor autonomous visual registration experiments with the robot RHex guided by engineered beacons.", 10.1177/0278364907080737
resilience algorithm,2013,resilience consistently leads to substantially better results than the other approaches., 10.1177/0278364913499192
" Kinematically redundant actuators, a solution for conflicting torque–speed requirements",2019,"motor equivalent in terms of operating range, maximum acceleration, and energy consumption. We discuss how the comparison is influenced by the design of the actuator and the way how the power is distributed over the input motors. Our results support the idea that kinematically redundant actuators can resolve the conflicting torque?speed requirements typical of robots.", 10.1177/0278364919826382
free components,2022,"driven inverse dynamics controller is able to better compensate for biases arising from manufacturing variability. At the same time, the formulated controller is very computationally efficient, with the MPC implemented at 5 KHz on a Simulink embedded target, via which we empirically demonstrate controlled hovering on a RoboBee.", 10.1177/02783649211063225
 Joint search of optimal topology and trajectory for planar linkages,2022,"integer nonlinear programming (MINLP), and simulated annealing (SA). We evaluated these algorithms searching for planar linkages involving 10 ? 14 rigid links. Our results show that the best performance can be achieved by combining MICP and MINLP, leading to a hybrid algorithm capable of finding the planar linkages within a couple of hours on a desktop machine, which significantly outperforms the SA baseline in terms of optimality. We highlight the effectiveness of our optimized planar linkages by using them as legs of a walking robot.", 10.1177/02783649211069156
 Roll and Pitch Motion Analysis of a Biologically Inspired Quadruped Water Runner Robot,2009,"speed video footage demonstrates the stable roll and pitch motion of the robot. Simulations are used to estimate robustness against disturbances, waves, and leg running frequency variations. It is found that roll motion is more sensitive to disturbances when compared with the pitch direction.", 10.1177/0278364909354391
,,,
